db_source,timestamp_utc,asset,leaf_id,direction,wr_reported,n_reported,open,high,low,close,rsi_5,stoch_k_v2,stoch_d_v2,bb_upper,bb_middle,bb_lower,bb_width_bps,ma6,ma14,ma_trend_bps,close_to_lower,close_to_upper,schaff_value,stc_zone,bb_position,stc_stoch_diff,stoch_kd_diff,exit_2m,pnl_2m,win_2m
trading_data.db,2026-04-25T15:23:00.000Z,USDIDR_otc,L65,PUT,0.637800,323,16705.200000,16707.700000,16703.300000,16704.800000,61.212121,80.468373,50.633349,16732.425096,16709.550000,16686.674904,27.379667,16700.400000,16703.514286,-1.864449,10.847148,16.532519,3.415088,oversold,0.396175,-77.053284,29.835023,16702.300000,460,1
trading_data.db,2026-04-25T06:13:00.000Z,USDINR_otc,L65,PUT,0.637800,323,90.529200,90.529200,90.507900,90.509400,61.488673,93.494675,64.999724,90.600693,90.543125,90.485557,12.716244,90.519083,90.528814,-1.074901,2.633378,10.082867,0.413149,oversold,0.207088,-93.081527,28.494951,90.528500,-500,0
trading_data.db,2026-04-25T10:46:00.000Z,USDINR_otc,L41,PUT,0.760000,50,90.380500,90.380900,90.369700,90.376200,0,21.696880,43.022745,90.416250,90.376110,90.335970,8.882845,90.396900,90.383864,1.442261,4.451381,4.431464,20.026379,oversold,0.501121,-1.670500,-21.325866,90.377800,-500,0
trading_data.db,2026-04-25T10:47:00.000Z,USDINR_otc,L41,PUT,0.760000,50,90.375100,90.385800,90.371800,90.373800,0,3.298611,22.942136,90.415967,90.375865,90.335763,8.874423,90.391050,90.385864,0.573731,4.208721,4.665702,14.076144,oversold,0.474253,10.777533,-19.643525,90.383300,-500,0
trading_data.db,2026-04-25T12:46:00.000Z,USDINR_otc,L16,CALL,0.686000,86,90.243700,90.248600,90.222400,90.225400,0,6.746643,8.186152,90.294729,90.264685,90.234641,6.656952,90.253050,90.265064,-1.331001,-1.023724,7.680677,70.257547,neutral,-0.153783,63.510905,-1.439509,90.246400,460,1
trading_data.db,2026-04-25T13:11:00.000Z,USDINR_otc,L41,PUT,0.760000,50,90.320800,90.323400,90.289500,90.291200,14.133739,31.561148,53.906632,90.357695,90.277875,90.198055,17.683080,90.322250,90.296379,2.865168,10.317538,7.365541,99.835859,overbought,0.583470,68.274711,-22.345484,90.284700,460,1
trading_data.db,2026-04-25T13:12:00.000Z,USDINR_otc,L41,PUT,0.760000,50,90.291200,90.291200,90.274600,90.281400,15.551839,13.807268,34.555961,90.356519,90.280805,90.205091,16.773065,90.312750,90.298814,1.543289,8.452438,8.320627,99.477385,overbought,0.503929,85.670117,-20.748694,90.271400,460,1
trading_data.db,2026-04-25T13:18:00.000Z,USDINR_otc,L65,PUT,0.637800,323,90.288000,90.293000,90.281700,90.290100,54.925373,59.753484,34.570164,90.347602,90.292205,90.236808,12.270594,90.276783,90.299921,-2.562361,5.902165,6.368429,33.517100,neutral,0.481001,-26.236385,25.183320,90.281800,460,1
trading_data.db,2026-04-25T13:19:00.000Z,USDINR_otc,L65,PUT,0.637800,323,90.289100,90.297600,90.283100,90.283800,91.549296,85.935302,58.467729,90.343997,90.294850,90.245703,10.885952,90.277517,90.297479,-2.210682,4.219207,6.666744,26.142383,neutral,0.387583,-59.792919,27.467574,90.277600,460,1
trading_data.db,2026-04-25T04:34:00.000Z,USDJPY_otc,L16,CALL,0.686000,86,157.654000,157.654000,157.609000,157.620000,0,8.048394,6.985143,157.947616,157.797650,157.647684,19.007342,157.695167,157.772357,-4.892522,-1.754418,20.761760,,,-0.092302,,1.063251,157.651000,460,1
